@relation 'AirQualityUCI_Weka-weka.filters.unsupervised.attribute.Add-NTEST-Clast-W1.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3,5,7,9-11,13'

@attribute DateTime date 'yyyy-MM-dd HH:mm:ss'
@attribute CO(GT) numeric
@attribute C6H6(GT) numeric
@attribute NOx(GT) numeric
@attribute NO2(GT) numeric
@attribute RH numeric

@data
'2004-03-11 23:00:00',1,2.6,47,53,60.8
'2004-03-12 00:00:00',1.7,5.9,122,97,58.5
'2004-03-12 01:00:00',1.9,6.4,133,110,59.7
'2004-03-12 02:00:00',1.4,4.1,82,91,61.8
'2004-03-12 03:00:00',0.8,1.9,246.896735,113.091251,62.3
'2004-03-12 04:00:00',2.15275,1.1,21,32,65.9
'2004-03-12 05:00:00',0.6,1,30,44,65
'2004-03-12 06:00:00',0.8,1.8,56,71,62.9
'2004-03-12 07:00:00',1.4,4.4,109,104,65.1
'2004-03-12 08:00:00',4.4,17.9,307,141,63.1
'2004-03-12 09:00:00',2.15275,22.1,246.896735,113.091251,56.2
'2004-03-12 10:00:00',3.1,14,187,122,41.7
'2004-03-12 11:00:00',2.7,11.6,216,143,38.4
'2004-03-12 12:00:00',2.1,10.2,143,113,36.5
'2004-03-12 13:00:00',2.5,11,160,116,34.5
'2004-03-12 14:00:00',2.7,12.8,163,123,35.7
'2004-03-12 15:00:00',2.9,14.2,190,126,37
'2004-03-12 16:00:00',2.8,12.7,178,120,37.2
'2004-03-12 17:00:00',2.4,11.7,150,119,34.3
'2004-03-12 18:00:00',3.9,19.3,206,149,39.6
'2004-03-12 19:00:00',3.7,18.2,202,145,43.4
'2004-03-12 20:00:00',6.6,32.6,340,170,50.5
'2004-03-12 21:00:00',4.4,20.1,274,149,53.3
'2004-03-12 22:00:00',3.5,14.3,253,139,59.1
'2004-03-12 23:00:00',5.4,21.8,300,134,64.6
'2004-03-13 00:00:00',2.7,9.6,193,113,64.1
'2004-03-13 01:00:00',1.9,7.4,139,97,63.9
'2004-03-13 02:00:00',1.6,5.4,83,82,63.9
'2004-03-13 03:00:00',1.7,5.4,246.896735,113.091251,67.5
'2004-03-13 04:00:00',2.15275,6.2,109,83,71.1
'2004-03-13 05:00:00',1,2.6,62,65,63.6
'2004-03-13 06:00:00',1.2,2.9,53,60,67.5
'2004-03-13 07:00:00',1.5,5.1,139,77,71.9
'2004-03-13 08:00:00',2.7,11.8,256,96,71.6
'2004-03-13 09:00:00',3.7,15.1,295,119,59.7
'2004-03-13 10:00:00',3.2,12.9,250,126,51.2
'2004-03-13 11:00:00',4.1,16.1,296,158,42.2
'2004-03-13 12:00:00',3.6,14,239,161,33.8
'2004-03-13 13:00:00',2.8,12.3,153,124,31.3
'2004-03-13 14:00:00',2,8.6,118,102,34.8
'2004-03-13 15:00:00',2,9.2,119,116,33.6
'2004-03-13 16:00:00',2.5,10.2,138,124,35.1
'2004-03-13 17:00:00',2.3,10.6,148,125,37.8
'2004-03-13 18:00:00',3.2,15.5,227,148,41
'2004-03-13 19:00:00',4.2,19.6,277,165,42.4
'2004-03-13 20:00:00',4.2,19.2,279,161,44.1
'2004-03-13 21:00:00',4.2,18.3,283,159,46.8
'2004-03-13 22:00:00',3.1,13.1,214,143,48.6
'2004-03-13 23:00:00',2.6,10.9,172,130,49.3
'2004-03-14 00:00:00',2.9,11,190,129,53.6
'2004-03-14 01:00:00',2.8,11.9,174,119,51.5
'2004-03-14 02:00:00',2.5,8.6,128,104,58.9
'2004-03-14 03:00:00',2.4,9.7,246.896735,113.091251,63.4
'2004-03-14 04:00:00',2.15275,5.2,70,82,61.1
'2004-03-14 05:00:00',1.2,3.7,53,70,63.1
'2004-03-14 06:00:00',1,2.5,44,63,62.2
'2004-03-14 07:00:00',0.9,2.4,74,67,67.6
'2004-03-14 08:00:00',1.4,4.2,101,84,62.7
'2004-03-14 09:00:00',1.6,6.4,118,83,60
'2004-03-14 10:00:00',2.2,8.6,144,98,53.1
'2004-03-14 11:00:00',2.8,10.9,176,114,46.1
'2004-03-14 12:00:00',2.8,10.7,161,119,38.3
'2004-03-14 13:00:00',2,7.5,113,104,31.4
'2004-03-14 14:00:00',1.8,7.5,103,102,30.2
'2004-03-14 15:00:00',1.9,8.2,112,107,29
'2004-03-14 16:00:00',3,11.9,170,129,28.4
'2004-03-14 17:00:00',2.9,12,180,128,30.8
'2004-03-14 18:00:00',2.5,12.2,160,121,36.7
'2004-03-14 19:00:00',4.6,20.6,261,157,41.7
'2004-03-14 20:00:00',5.9,23.1,325,173,46.1
'2004-03-14 21:00:00',3.4,14.7,217,146,49.6
'2004-03-14 22:00:00',2.1,9,146,121,51
'2004-03-14 23:00:00',2.2,8.8,152,119,55.9
'2004-03-15 00:00:00',1.8,7.4,104,99,54.7
'2004-03-15 01:00:00',1.8,6.9,106,93,57
'2004-03-15 02:00:00',1.8,7,108,88,61.3
'2004-03-15 03:00:00',1.1,4.4,246.896735,113.091251,63.5
'2004-03-15 04:00:00',2.15275,4,66,71,65.4
'2004-03-15 05:00:00',1,3.9,88,74,67.4
'2004-03-15 06:00:00',1.4,6.4,138,80,70.5
'2004-03-15 07:00:00',2.2,9.7,228,89,70.2
'2004-03-15 08:00:00',5.5,25.9,360,114,63.9
'2004-03-15 09:00:00',8.1,36.7,478,149,54.3
'2004-03-15 10:00:00',5.8,26.6,394,157,45.6
'2004-03-15 11:00:00',4.2,20.1,319,155,38.5
'2004-03-15 12:00:00',3.1,14.1,201,134,34.1
'2004-03-15 13:00:00',2.9,14.9,171,119,32.2
'2004-03-15 14:00:00',2.9,15.4,159,111,30
'2004-03-15 15:00:00',2.5,12.1,153,104,28.9
'2004-03-15 16:00:00',2.3,11.5,143,99,29.4
'2004-03-15 17:00:00',2.8,14.8,156,110,31.3
'2004-03-15 18:00:00',6.1,32.1,314,162,35.4
'2004-03-15 19:00:00',8,39.2,404,187,42.5
'2004-03-15 20:00:00',6.5,31,320,165,52.6
'2004-03-15 21:00:00',4.2,19.9,256,145,57.4
'2004-03-15 22:00:00',3.2,15.3,193,125,60.2
'2004-03-15 23:00:00',1.4,6.9,89,101,61.4
'2004-03-16 00:00:00',2.1,11.1,127,103,65.7
'2004-03-16 01:00:00',1.2,5.4,79,88,60.6
'2004-03-16 02:00:00',0.8,2.8,43,61,59.2
'2004-03-16 03:00:00',0.7,2.3,246.896735,113.091251,62.1
'2004-03-16 04:00:00',2.15275,2.6,59,59,66.2
'2004-03-16 05:00:00',0.6,2,38,52,63.2
'2004-03-16 06:00:00',0.9,3.5,82,64,68.5
'2004-03-16 07:00:00',1.3,5.1,99,70,66.5
'2004-03-16 08:00:00',3.4,16.2,263,97,63.7
'2004-03-16 09:00:00',3.7,19.7,229,95,56.3
'2004-03-16 10:00:00',5.3,25.1,396,150,42.9
'2004-03-16 11:00:00',4.1,20,314,162,33.3
'2004-03-16 12:00:00',3.3,18.3,217,154,27.4
'2004-03-16 13:00:00',4,22.3,252,161,26.1
'2004-03-16 14:00:00',3.8,20.4,263,161,23.2
'2004-03-16 15:00:00',2.8,14.6,180,128,20.2
'2004-03-16 16:00:00',2.9,16.6,184,129,18.6
'2004-03-16 17:00:00',2.9,15.8,190,133,19.1
'2004-03-16 18:00:00',3.4,17.8,184,139,25.7
'2004-03-16 19:00:00',3.9,19.1,181,137,34.8
'2004-03-16 20:00:00',3.2,15.8,166,143,36.7
'2004-03-16 21:00:00',5.1,24.9,317,177,41.3
'2004-03-16 22:00:00',2.6,13.5,184,138,45.9
'2004-03-16 23:00:00',1.7,9.1,130,117,48.9
'2004-03-17 00:00:00',1.7,8.6,132,107,52.9
'2004-03-17 01:00:00',1.2,5.4,95,90,51.9
'2004-03-17 02:00:00',0.9,4.1,70,79,55.6
'2004-03-17 03:00:00',0.7,2.6,246.896735,113.091251,57.9
'2004-03-17 04:00:00',2.15275,1.9,54,60,57.9
'2004-03-17 05:00:00',0.5,1.6,28,40,58
'2004-03-17 06:00:00',0.5,1.9,46,53,57.4
'2004-03-17 07:00:00',1.6,7.5,160,84,65.2
'2004-03-17 08:00:00',4.1,21.4,320,108,60.2
'2004-03-17 09:00:00',6.6,36.4,377,127,50
'2004-03-17 10:00:00',4.3,21.3,280,134,40.1
'2004-03-17 11:00:00',2.9,15.4,221,135,33.4
'2004-03-17 12:00:00',2.5,12.5,210,142,28.3
'2004-03-17 13:00:00',2.8,15.1,204,153,25.6
'2004-03-17 14:00:00',2.6,13.7,161,123,25.9
'2004-03-17 15:00:00',2,10.4,135,104,18.7
'2004-03-17 16:00:00',2.9,15.2,186,129,15.8
'2004-03-17 17:00:00',2.5,12.3,147,114,14.9
'2004-03-17 18:00:00',5,27,299,158,16
'2004-03-17 19:00:00',7.6,38.4,411,194,26.5
'2004-03-17 20:00:00',6.7,35.1,347,182,38.2
'2004-03-17 21:00:00',5.7,27.2,336,180,42.6
'2004-03-17 22:00:00',2.8,15,202,136,44.1
'2004-03-17 23:00:00',2.6,15.7,178,127,50.9
'2004-03-18 00:00:00',2.3,13,154,116,53.9
'2004-03-18 01:00:00',1.4,8.1,92,107,55.4
'2004-03-18 02:00:00',1,5.5,61,88,52.1
'2004-03-18 03:00:00',0.7,3.6,246.896735,113.091251,53.9
'2004-03-18 04:00:00',2.15275,2.9,60,78,61.9
'2004-03-18 05:00:00',0.6,2.5,37,57,58.9
'2004-03-18 06:00:00',0.7,3,68,71,62.1
'2004-03-18 07:00:00',1.5,7.7,139,85,63.3
'2004-03-18 08:00:00',4.7,23.3,339,124,60
'2004-03-18 09:00:00',6.6,35.8,421,151,50.6
'2004-03-18 10:00:00',4.5,21.3,349,150,40.5
'2004-03-18 11:00:00',2.8,14.3,224,152,34.4
'2004-03-18 12:00:00',2.2,12.5,171,139,28.2
'2004-03-18 13:00:00',2.2,12.2,149,133,28.7
'2004-03-18 14:00:00',2.3,13.1,137,126,24.9
'2004-03-18 15:00:00',2.2,14.4,149,128,17.8
'2004-03-18 16:00:00',2.8,16.8,172,169,23.1
'2004-03-18 17:00:00',2.7,14.5,166,149,23.9
'2004-03-18 18:00:00',3.7,21.5,214,156,26.8
'2004-03-18 19:00:00',5.1,26.4,280,168,31.1
'2004-03-18 20:00:00',5.1,26,276,176,36.2
'2004-03-18 21:00:00',3.2,14.1,178,135,48.4
'2004-03-18 22:00:00',2.1,10.3,129,121,57.8
'2004-03-18 23:00:00',1.7,8.3,95,99,64.2
'2004-03-19 00:00:00',2,8.9,126,106,69.7
'2004-03-19 01:00:00',1.6,6.6,103,96,71.1
'2004-03-19 02:00:00',0.9,3.6,48,63,69.3
'2004-03-19 03:00:00',0.7,2.5,246.896735,113.091251,67.5
'2004-03-19 04:00:00',2.15275,1.8,20,32,67.7
'2004-03-19 05:00:00',0.5,1.3,18,28,66.8
'2004-03-19 06:00:00',0.7,2.3,56,61,66.3
'2004-03-19 07:00:00',1.5,6.7,115,99,64.9
'2004-03-19 08:00:00',4.8,22.8,320,157,61.6
'2004-03-19 09:00:00',6.2,31.3,357,166,58.8
'2004-03-19 10:00:00',4,19.2,253,149,57.1
'2004-03-19 11:00:00',3.3,16.4,218,135,54.4
'2004-03-19 12:00:00',2.8,14,192,127,50.1
'2004-03-19 13:00:00',3,15.3,176,122,47.6
'2004-03-19 14:00:00',3.3,16.7,198,135,47.1
'2004-03-19 15:00:00',3.5,19,212,139,47.5
'2004-03-19 16:00:00',4,19.4,249,147,50.2
'2004-03-19 17:00:00',4.6,20.9,270,158,50.7
'2004-03-19 18:00:00',4.1,20.2,231,146,50.3
'2004-03-19 19:00:00',4.5,21.7,251,144,50.6
'2004-03-19 20:00:00',3.9,19.8,210,138,51.4
'2004-03-19 21:00:00',4,16.7,249,143,53.1
'2004-03-19 22:00:00',2.2,9.1,143,116,57.6
'2004-03-19 23:00:00',2.1,8.3,127,109,58.3
'2004-03-20 00:00:00',1.7,5.8,104,92,57.9
'2004-03-20 01:00:00',1.6,5.2,86,83,55.9
'2004-03-20 02:00:00',1.3,4.1,74,81,55.6
'2004-03-20 03:00:00',1.3,3.4,246.896735,113.091251,55.1
'2004-03-20 04:00:00',2.15275,2.9,44,55,54.6
'2004-03-20 05:00:00',0.8,3.1,42,53,55.1
'2004-03-20 06:00:00',0.8,2.5,63,67,59
'2004-03-20 07:00:00',1.1,4.3,115,91,58.4
'2004-03-20 08:00:00',2.1,8.9,170,113,58
'2004-03-20 09:00:00',2.4,10.5,147,102,53.1
'2004-03-20 10:00:00',2.6,12.5,166,107,52.3
'2004-03-20 11:00:00',2.8,12.3,195,113,52.1
'2004-03-20 12:00:00',2.6,11.7,182,108,50
'2004-03-20 13:00:00',2.6,11.7,168,105,47.9
'2004-03-20 14:00:00',2.1,9.3,125,93,42.9
'2004-03-20 15:00:00',1.7,7.6,95,87,42.3
'2004-03-20 16:00:00',1.6,6.7,79,76,42.3
'2004-03-20 17:00:00',2.1,9.7,119,94,43.8
'2004-03-20 18:00:00',2.3,12.4,142,110,46.3
'2004-03-20 19:00:00',3.5,16.6,215,136,51.6
'2004-03-20 20:00:00',3.9,16.4,229,139,51.3
'2004-03-20 21:00:00',3.3,13.7,206,125,53.8
'2004-03-20 22:00:00',2.3,9.9,147,111,55.4
'2004-03-20 23:00:00',2.1,8.9,122,97,57.7
'2004-03-21 00:00:00',2.8,10.6,175,107,58.6
'2004-03-21 01:00:00',2.1,7.4,133,90,60.9
'2004-03-21 02:00:00',1.6,6.2,89,84,56.6
'2004-03-21 03:00:00',1.6,6.5,246.896735,113.091251,57.9
'2004-03-21 04:00:00',2.15275,5.8,85,87,57.8
'2004-03-21 05:00:00',1.1,4,55,66,60.6
'2004-03-21 06:00:00',0.7,2.1,24,36,63
'2004-03-21 07:00:00',0.8,3.6,72,62,66.2
'2004-03-21 08:00:00',1.2,4.4,122,91,65.3
'2004-03-21 09:00:00',1.4,5.4,111,89,62.1
'2004-03-21 10:00:00',1.7,7.1,123,93,59
'2004-03-21 11:00:00',1.8,7.3,106,81,49.6
'2004-03-21 12:00:00',1.8,7.6,103,82,46.1
'2004-03-21 13:00:00',1.9,6.8,102,80,41.6
'2004-03-21 14:00:00',1.3,4.6,48,48,40.3
'2004-03-21 15:00:00',1.6,8.4,63,61,39.3
'2004-03-21 16:00:00',1.9,6.9,98,89,38
'2004-03-21 17:00:00',2.3,9,132,105,41.3
'2004-03-21 18:00:00',3.8,15.1,173,116,43.8
'2004-03-21 19:00:00',3.5,12.6,185,119,48.1
'2004-03-21 20:00:00',4.3,15.1,266,144,46.9
'2004-03-21 21:00:00',2.8,9.9,188,123,49.1
'2004-03-21 22:00:00',1.9,8,122,105,51.7
'2004-03-21 23:00:00',1.9,7.9,112,93,55.1
'2004-03-22 00:00:00',1.7,6.1,93,86,60
'2004-03-22 01:00:00',1.5,5.1,74,76,60.5
'2004-03-22 02:00:00',0.6,1.7,23,33,57
'2004-03-22 03:00:00',0.4,0.7,246.896735,113.091251,53.9
'2004-03-22 04:00:00',2.15275,0.8,17,27,55.9
'2004-03-22 05:00:00',0.3,0.7,15,23,53.9
'2004-03-22 06:00:00',0.6,2,41,46,54
'2004-03-22 07:00:00',1.2,5.1,86,76,57.6
'2004-03-22 08:00:00',3.6,17.7,226,116,53.7
'2004-03-22 09:00:00',3.7,18.4,214,115,42.1
'2004-03-22 10:00:00',1.8,6.9,115,83,38.4
'2004-03-22 11:00:00',1.6,7.3,124,87,36.7
'2004-03-22 12:00:00',1.9,9.6,122,90,29.6
'2004-03-22 13:00:00',2,10.4,107,87,28.1
'2004-03-22 14:00:00',2.2,11.2,133,99,26.1
'2004-03-22 15:00:00',2.1,10.7,130,99,26.8
'2004-03-22 16:00:00',2.3,11.6,150,101,24.2
'2004-03-22 17:00:00',2.6,12.4,138,103,28.5
'2004-03-22 18:00:00',3.8,18.3,213,129,43.1
'2004-03-22 19:00:00',4.4,21,232,143,47.4
'2004-03-22 20:00:00',4.5,21,238,146,47.4
'2004-03-22 21:00:00',3.3,14.5,180,124,49.7
'2004-03-22 22:00:00',2,8.4,128,113,52
'2004-03-22 23:00:00',1.1,4.3,65,80,49.4
'2004-03-23 00:00:00',0.9,3.8,53,72,51.4
'2004-03-23 01:00:00',0.8,2.7,47,64,51.3
'2004-03-23 02:00:00',0.7,2.5,51,70,56.8
'2004-03-23 03:00:00',0.5,1.2,246.896735,113.091251,70
'2004-03-23 04:00:00',2.15275,0.8,20,31,76.8
'2004-03-23 05:00:00',0.3,0.6,13,22,80.5
'2004-03-23 06:00:00',0.5,1.8,33,47,75.4
'2004-03-23 07:00:00',1.1,4.6,103,88,75
'2004-03-23 08:00:00',3,14.2,224,130,74.2
'2004-03-23 09:00:00',3.8,21,244,132,69.7
'2004-03-23 10:00:00',3.4,16.2,237,132,62.9
'2004-03-23 11:00:00',3,15.5,220,131,55.8
'2004-03-23 12:00:00',2.7,13.4,207,129,54.8
'2004-03-23 13:00:00',3.5,16.9,208,132,53.4
'2004-03-23 14:00:00',2.8,12.4,160,110,42.4
'2004-03-23 15:00:00',1.9,10.1,131,99,49.8
'2004-03-23 16:00:00',2,8.7,128,100,61.1
'2004-03-23 17:00:00',3,13.8,176,122,54.6
'2004-03-23 18:00:00',1.9,9.3,107,97,49.5
'2004-03-23 19:00:00',2.7,13,131,112,57.1
'2004-03-23 20:00:00',3.3,14.3,166,128,58.2
'2004-03-23 21:00:00',1.7,7.6,89,101,54.2
'2004-03-23 22:00:00',1.3,5.3,81,96,54.9
'2004-03-23 23:00:00',1.3,5.4,78,86,61.4
'2004-03-24 00:00:00',1.2,4.9,70,85,62.2
'2004-03-24 01:00:00',1.1,4.6,76,79,62.5
'2004-03-24 02:00:00',0.9,2.7,43,61,60
'2004-03-24 03:00:00',0.6,1.6,246.896735,113.091251,61.6
'2004-03-24 04:00:00',2.15275,1.7,44,66,62.7
'2004-03-24 05:00:00',0.6,1.2,34,54,58.6
'2004-03-24 06:00:00',0.8,1.7,43,57,57.2
'2004-03-24 07:00:00',1.2,4.8,79,75,59.2
'2004-03-24 08:00:00',3.1,13.8,174,97,57.3
'2004-03-24 09:00:00',4.4,23.7,235,110,56.9
'2004-03-24 10:00:00',3.4,14.2,218,113,54.9
'2004-03-24 11:00:00',1.7,8,136,88,44.3
'2004-03-24 12:00:00',1.5,6.7,117,85,40.6
'2004-03-24 13:00:00',1.7,8.7,119,96,34.6
'2004-03-24 14:00:00',2.2,10.8,126,106,35.6
'2004-03-24 15:00:00',2.15275,6.7,100,91,63.9
'2004-03-24 16:00:00',2.7,11.4,197,126,81.1
'2004-03-24 17:00:00',2.8,13.4,195,130,69.1
'2004-03-24 18:00:00',2.7,12,156,111,68.5
'2004-03-24 19:00:00',4.5,20.2,247,134,67.3
'2004-03-24 20:00:00',3.5,14.4,190,136,65.7
'2004-03-24 21:00:00',2.6,9.4,169,125,66.3
'2004-03-24 22:00:00',1.7,5.9,118,108,66.9
'2004-03-24 23:00:00',1.3,4.5,81,87,61.1
'2004-03-25 00:00:00',1.3,4.5,80,89,59.9
'2004-03-25 01:00:00',1,2.5,42,58,58.4
'2004-03-25 02:00:00',0.7,1.8,38,54,68.1
'2004-03-25 03:00:00',0.7,1.4,246.896735,113.091251,68.2
'2004-03-25 04:00:00',0.5,0.9,18,28,72.3
'2004-03-25 05:00:00',0.5,0.6,12,20,66.8
'2004-03-25 06:00:00',0.6,1.4,43,51,83.2
'2004-03-25 07:00:00',1.1,3.8,84,82,79
'2004-03-25 08:00:00',2.7,11.6,184,112,74.6
'2004-03-25 09:00:00',3.5,17.8,202,119,75.1
'2004-03-25 10:00:00',2.3,8.8,133,99,69.7
'2004-03-25 11:00:00',1.6,6.8,130,98,64.4
'2004-03-25 12:00:00',1.3,5.9,106,88,53
'2004-03-25 13:00:00',2,8.9,132,96,48.4
'2004-03-25 14:00:00',1.9,8.2,106,81,46.3
'2004-03-25 15:00:00',1.9,8.6,125,92,41.3
'2004-03-25 16:00:00',2.2,10.1,138,105,35.4
'2004-03-25 17:00:00',2,9.4,120,88,37.4
'2004-03-25 18:00:00',2.9,14.6,158,103,40.5
'2004-03-25 19:00:00',5.2,24.6,253,141,47.8
'2004-03-25 20:00:00',4.6,21.6,231,133,52.5
'2004-03-25 21:00:00',2.5,10.3,150,119,53.2
'2004-03-25 22:00:00',1.5,5.7,99,106,56.1
'2004-03-25 23:00:00',1.2,4.5,75,92,59.5
'2004-03-26 00:00:00',1.7,5.5,93,97,61.1
'2004-03-26 01:00:00',1.4,4.8,79,91,61.6
'2004-03-26 02:00:00',1.2,3.6,67,83,62.6
'2004-03-26 03:00:00',0.6,1.7,246.896735,113.091251,68.5
'2004-03-26 04:00:00',0.7,2.2,45,59,69.4
'2004-03-26 05:00:00',0.8,3,72,73,72.4
'2004-03-26 06:00:00',0.9,4,103,78,71.8
'2004-03-26 07:00:00',1.6,6.7,132,90,66.3
'2004-03-26 08:00:00',3.4,16.7,239,110,59.6
'2004-03-26 09:00:00',3.8,19.3,275,114,57
'2004-03-26 10:00:00',3.1,14.8,232,119,44.1
'2004-03-26 11:00:00',2.7,13.4,180,121,35.3
'2004-03-26 12:00:00',2,11,112,97,27.1
'2004-03-26 13:00:00',2.3,12.5,116,99,26.2
'2004-03-26 14:00:00',1.9,8.4,103,85,30.8
'2004-03-26 15:00:00',1.3,5.3,89,75,36.8
'2004-03-26 16:00:00',1.9,8.8,112,87,41
'2004-03-26 17:00:00',2.3,11.2,127,102,43.3
'2004-03-26 18:00:00',2.4,11.6,125,105,45.6
'2004-03-26 19:00:00',2.7,12.4,120,98,48
'2004-03-26 20:00:00',2.6,10.6,120,93,51.1
'2004-03-26 21:00:00',1.5,6,99,91,50.8
'2004-03-26 22:00:00',1.2,4.6,79,85,50.4
'2004-03-26 23:00:00',1.1,4.1,66,74,50.2
'2004-03-27 00:00:00',1.5,5.2,94,87,53.4
'2004-03-27 01:00:00',1,3.2,70,79,57.8
'2004-03-27 02:00:00',1.2,4.5,75,78,62.1
'2004-03-27 03:00:00',1.1,3.8,246.896735,113.091251,63.5
'2004-03-27 04:00:00',2.15275,3.8,57,63,64.8
'2004-03-27 05:00:00',0.8,1.9,32,48,58.9
'2004-03-27 06:00:00',0.9,2.4,54,59,66.6
'2004-03-27 07:00:00',1.1,3.3,68,65,62.9
'2004-03-27 08:00:00',1.5,6.7,98,71,63.9
'2004-03-27 09:00:00',1.8,8.5,128,84,50.5
'2004-03-27 10:00:00',2.1,9.7,129,93,36.1
'2004-03-27 11:00:00',2.1,9.4,130,99,29.2
'2004-03-27 12:00:00',1.9,9,111,93,30.1
'2004-03-27 13:00:00',2.1,10,106,96,26.8
'2004-03-27 14:00:00',2.5,12.6,137,114,28.6
'2004-03-27 15:00:00',1.9,7.6,113,101,28.4
'2004-03-27 16:00:00',2.2,11.8,122,108,26
'2004-03-27 17:00:00',2.3,11.2,137,117,31.3
'2004-03-27 18:00:00',2.7,12.4,165,125,36.1
'2004-03-27 19:00:00',3,12.9,196,133,40.1
'2004-03-27 20:00:00',2.8,12.2,174,119,44.9
'2004-03-27 21:00:00',2.2,8.8,140,107,48.1
'2004-03-27 22:00:00',1.6,6.8,102,96,50.8
'2004-03-27 23:00:00',2.1,8.6,130,105,56.1
'2004-03-28 00:00:00',2.3,8.9,121,102,55.9
'2004-03-28 01:00:00',2.3,8.3,111,97,58.1
'2004-03-28 02:00:00',1.7,6.3,87,79,62.2
'2004-03-28 03:00:00',2.2,8.3,246.896735,113.091251,66.7
'2004-03-28 04:00:00',1.3,5.1,77,69,64.9
'2004-03-28 05:00:00',0.8,2.6,39,52,58.5
'2004-03-28 06:00:00',1.1,3.6,77,62,66.4
'2004-03-28 07:00:00',1.4,3.6,91,69,68
'2004-03-28 08:00:00',1.3,4.7,105,75,58.6
'2004-03-28 09:00:00',1.9,7.5,133,83,50.1
'2004-03-28 10:00:00',2.3,9,128,94,36.9
'2004-03-28 11:00:00',2.3,9.5,126,96,31.3
'2004-03-28 12:00:00',1.8,7.7,92,86,26.4
'2004-03-28 13:00:00',1.4,5.7,66,72,23.1
'2004-03-28 14:00:00',1,3.8,50,53,25
'2004-03-28 15:00:00',1.4,4.8,70,65,27.3
'2004-03-28 16:00:00',1.3,4.3,73,70,28.3
'2004-03-28 17:00:00',1.3,4.1,77,75,31.4
'2004-03-28 18:00:00',1.4,4.7,86,86,35
'2004-03-28 19:00:00',1.9,6.2,93,94,40.2
'2004-03-28 20:00:00',1.8,5.5,105,103,43.2
'2004-03-28 21:00:00',1.1,3.3,67,81,46.8
'2004-03-28 22:00:00',1.1,3.2,63,80,46.5
'2004-03-28 23:00:00',1.1,2.9,63,77,46.6
'2004-03-29 00:00:00',0.9,2.2,46,58,48
'2004-03-29 01:00:00',0.6,1.3,21,31,45.8
'2004-03-29 02:00:00',0.5,1.1,22,38,46.6
'2004-03-29 03:00:00',0.7,1.3,246.896735,113.091251,47.8
'2004-03-29 04:00:00',0.6,1.2,39,59,46.9
'2004-03-29 05:00:00',0.7,1.7,55,70,51.2
'2004-03-29 06:00:00',0.9,2.9,76,75,50.7
'2004-03-29 07:00:00',2.9,14.3,181,103,56.8
'2004-03-29 08:00:00',4.1,19.7,259,134,44.1
'2004-03-29 09:00:00',1.5,5.5,118,98,37.6
'2004-03-29 10:00:00',1.5,5.6,119,97,33.2
'2004-03-29 11:00:00',1.5,5.8,123,98,30.1
'2004-03-29 12:00:00',1.4,5.5,92,78,29
'2004-03-29 13:00:00',1.6,6.5,91,83,27.9
